artist_name,track_name,is_explicit,album_release_date,genres,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature,popularity,artist_count
OneRepublic,I Ain't Worried,False,2022-05-13,"['piano rock', 'pop']",0.7040000000000001,0.825,0.797,-5.9270000000000005,0.0826,0.000745,0.0546,0.0475,0,139.994,1,148486,4,92,1.0
David Guetta,I'm Good (Blue),True,2022-08-26,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.561,0.304,0.965,-3.673,0.0038299999999999996,7.07e-06,0.371,0.0343,7,128.04,0,175238,4,92,2.0
SZA,Kill Bill,False,2022-12-08,"['pop', 'r&b', 'rap']",0.644,0.418,0.735,-5.747000000000001,0.0521,0.14400000000000002,0.161,0.0391,8,88.98,1,153947,4,86,1.0
Manuel Turizo,La Bachata,False,2023-03-17,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.835,0.85,0.679,-5.329,0.583,1.98e-06,0.218,0.0364,7,124.98,0,162638,4,85,1.0
Sam Smith,Unholy (feat. Kim Petras),False,2023-01-27,"['pop', 'uk pop']",0.7120000000000001,0.20600000000000002,0.46299999999999997,-7.399,0.011000000000000001,2.96e-06,0.301,0.0797,2,131.19899999999998,1,156943,4,84,2.0
Eminem,Mockingbird,True,2004-11-12,"['detroit hip hop', 'hip hop', 'rap']",0.637,0.254,0.6779999999999999,-3.798,0.209,0.0,0.156,0.266,0,84.039,1,250760,4,91,1.0
Arctic Monkeys,I Wanna Be Yours,False,2013-09-09,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.46399999999999997,0.479,0.41700000000000004,-9.345,0.136,0.022000000000000002,0.0974,0.0256,0,67.528,0,183956,4,96,1.0
Miley Cyrus,Flowers,False,2023-08-18,['pop'],0.706,0.632,0.691,-4.775,0.0584,6.99e-05,0.0232,0.0633,0,118.04799999999999,1,200600,4,94,1.0
Myke Towers,LALA,True,2023-03-23,"['reggaeton', 'trap latino', 'urbano latino']",0.708,0.607,0.737,-4.045,0.0739,0.00162,0.0955,0.0436,1,91.986,1,197920,4,93,1.0
Taylor Swift,Blank Space,False,2014-10-27,['pop'],0.753,0.583,0.6779999999999999,-5.421,0.085,1.64e-06,0.13,0.0644,5,96.006,1,231827,4,78,1.0
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",False,2022-07-06,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.621,0.55,0.782,-5.547999999999999,0.0125,0.033,0.23,0.044000000000000004,2,128.033,1,198938,4,88,2.0
Olivia Rodrigo,vampire,True,2023-09-08,['pop'],0.511,0.35,0.532,-5.745,0.177,0.0,0.29100000000000004,0.0578,5,138.005,1,219724,4,95,1.0
Jung Kook,Seven (feat. Latto) (Explicit Ver.),True,2023-11-03,['k-pop'],0.79,0.872,0.831,-4.185,0.312,0.0,0.0797,0.044000000000000004,11,124.98700000000001,1,183551,4,90,2.0
Bad Bunny,Me Porto Bonito,True,2022-05-06,"['reggaeton', 'trap latino', 'urbano latino']",0.9109999999999999,0.425,0.7120000000000001,-5.105,0.0901,2.68e-05,0.0933,0.0817,1,92.005,0,178567,4,89,2.0
PinkPantheress,Boy's a liar Pt. 2,True,2023-11-10,['bedroom pop'],0.696,0.857,0.809,-8.254,0.252,0.000128,0.248,0.05,5,132.96200000000002,1,131013,4,84,2.0
The Weeknd,Die For You,False,2016-11-24,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.586,0.508,0.525,-7.162999999999999,0.111,0.0,0.134,0.0615,1,133.629,0,260253,4,85,1.0
Tom Odell,Another Love,True,2013-06-24,['chill pop'],0.445,0.131,0.537,-8.532,0.695,1.65e-05,0.0944,0.04,4,122.76899999999999,0,244360,4,72,1.0
The Neighbourhood,Sweater Weather,False,2013-04-19,"['modern alternative rock', 'modern rock', 'pop']",0.612,0.39799999999999996,0.807,-2.81,0.0495,0.0177,0.10099999999999999,0.0336,10,124.053,1,240400,4,93,1.0
Harry Styles,As It Was,False,2022-05-20,['pop'],0.52,0.662,0.731,-5.337999999999999,0.342,0.00101,0.311,0.0557,6,173.93,0,167303,4,95,1.0
The Weeknd,Starboy,True,2016-11-25,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.679,0.486,0.5870000000000001,-7.015,0.141,6.35e-06,0.13699999999999998,0.276,7,186.003,1,230453,4,95,2.0
David Kushner,Daylight,False,2023-04-14,"['gen z singer-songwriter', 'singer-songwriter pop']",0.508,0.324,0.43,-9.475,0.83,0.00044100000000000004,0.09300000000000001,0.0335,2,130.09,0,212954,4,94,1.0
Bad Bunny,WHERE SHE GOES,True,2023-10-13,"['reggaeton', 'trap latino', 'urbano latino']",0.6509999999999999,0.223,0.799,-4.02,0.14300000000000002,0.634,0.11199999999999999,0.0611,9,143.99200000000002,0,231704,4,84,1.0
Jimin,Like Crazy,False,2023-03-24,['k-pop'],0.629,0.36200000000000004,0.733,-5.445,0.0025,0.0,0.35700000000000004,0.0419,7,120.001,1,212241,4,93,1.0
The Weeknd,Blinding Lights,False,2020-03-20,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.514,0.33399999999999996,0.73,-5.934,0.00146,9.54e-05,0.0897,0.0598,1,171.005,1,200040,4,93,1.0
SZA,Snooze,True,2022-12-09,"['pop', 'r&b', 'rap']",0.5589999999999999,0.392,0.551,-7.231,0.141,0.0,0.11,0.132,5,143.00799999999998,1,201800,4,93,1.0
Morgan Wallen,Last Night,True,2023-03-03,['contemporary country'],0.49200000000000005,0.478,0.675,-5.456,0.467,0.0,0.142,0.0389,6,203.75900000000001,1,163855,4,84,1.0
NewJeans,OMG,False,2023-01-02,"['k-pop', 'k-pop girl group']",0.804,0.7390000000000001,0.7709999999999999,-4.067,0.35700000000000004,3.07e-06,0.10800000000000001,0.0433,9,126.956,0,212253,4,87,1.0
Peso Pluma,PRC,True,2023-06-29,"['corridos tumbados', 'sad sierreno']",0.784,0.893,0.826,-6.34,0.0965,7.09e-05,0.12300000000000001,0.0538,7,138.078,0,184066,3,82,2.0
Natanael Cano,AMG,True,2023-06-30,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",0.772,0.7859999999999999,0.73,-6.657,0.152,0.00010700000000000001,0.27399999999999997,0.0972,11,136.175,0,174943,3,81,3.0
FIFTY FIFTY,Cupid - Twin Ver.,False,2023-09-22,['k-pop girl group'],0.7829999999999999,0.726,0.5920000000000001,-8.332,0.435,4.15e-06,0.34700000000000003,0.0331,11,120.01799999999999,0,174253,4,75,1.0
